
respiratory failure,3390,1.0
hypotension,2557,0.754277286136
shortness  breath,2033,0.599705014749
altered mental status,1448,0.427138643068
dyspnea,1391,0.410324483776
respiratory distress,1369,0.40383480826
sepsis,1361,0.401474926254
chest pain,1340,0.395280235988
hypoxia,1273,0.375516224189
resp failure,1206,0.355752212389
fever,1150,0.339233038348
sob,889,0.262241887906
abdominal pain,750,0.221238938053
gi bleed,746,0.22005899705
septic shock,552,0.162831858407
pneumonia,455,0.134218289086
tachycardia,442,0.130383480826
weakness,437,0.128908554572
dyspnea on exertion,394,0.116224188791
fevers,377,0.111209439528
afib  rvr,356,0.105014749263
hypoxemia,344,0.101474926254
diarrhea,342,0.100884955752
melena,306,0.0902654867257
anemia,300,0.0884955752212
resp distress,295,0.0870206489676
fatigue,288,0.0849557522124
shock,285,0.0840707964602
afib,280,0.0825958702065
hyperkalemia,278,0.082005899705
cough,264,0.0778761061947
vomiting,255,0.0752212389381
lethargy,251,0.0740412979351
gib,240,0.070796460177
nausea,238,0.0702064896755
s/p fall,236,0.069616519174
brbpr,235,0.0693215339233
chf,231,0.0681415929204
hemoptysis,228,0.0672566371681
ams,218,0.0643067846608
i saw  examined the patient,217,0.06401179941
pna,210,0.0619469026549
unresponsive,205,0.0604719764012
hypoxic respiratory failure,199,0.0587020648968
renal failure,188,0.0554572271386
hypoglycemia,186,0.0548672566372
fall,184,0.0542772861357
urosepsis,184,0.0542772861357
cellulitis,180,0.0530973451327
syncope,166,0.0489675516224
bright red blood per rectum,156,0.046017699115
dm,153,0.0451327433628
aspiration pneumonia,147,0.0433628318584
acute renal failure,147,0.0433628318584
malaise,142,0.0418879056047
hypercarbic respiratory failure,140,0.0412979351032
atrial fibrillation,139,0.0410029498525
tachypnea,135,0.0398230088496
unresponsiveness,130,0.0383480825959
chills,125,0.0368731563422
palpitations,122,0.03598820059
was physically present,120,0.0353982300885
bradycardia,120,0.0353982300885
nstemi,114,0.0336283185841
hematemesis,112,0.0330383480826
s/p,110,0.0324483775811
arf,109,0.0321533923304
confusion,108,0.0318584070796
respiratory failure.,107,0.0315634218289
dizziness,106,0.0312684365782
? hep c,105,0.0309734513274
copd,104,0.0306784660767
found down,104,0.0306784660767
anasarca,101,0.0297935103245
headache,100,0.0294985250737
back pain,97,0.0286135693215
referred for right renal artery stenting  coronary,96,0.0283185840708
seizure,95,0.0280235988201
hypernatremia,90,0.0265486725664
renal failure on hd,90,0.0265486725664
change in mental status,87,0.0256637168142
cardiac arrest,85,0.0250737463127
delirium,83,0.0244837758112
pneumothorax,83,0.0244837758112
was physically present  the,82,0.0241887905605
acute respiratory failure,82,0.0241887905605
uti,80,0.023598820059
generalized weakness,79,0.0233038348083
agitation,79,0.0233038348083
atrial fibrillation  rvr,78,0.0230088495575
fluid overload,78,0.0230088495575
cholangitis,78,0.0230088495575
doe,76,0.022418879056
59yo m w cad s/p mi,75,0.0221238938053
cad,74,0.0218289085546
upper gi bleed,73,0.0215339233038
chronic respiratory failure,73,0.0215339233038
pulm htn,72,0.0212389380531
hypercarbic resp failure,71,0.0209439528024
seizures,71,0.0209439528024
mesenteric ischemia,71,0.0209439528024
leukocytosis,70,0.0206489675516
hypoxemic respiratory failure,70,0.0206489675516
heart failure,69,0.0203539823009
respiratory distress.,68,0.0200589970501
hypertension,67,0.0197640117994
acute on chronic diastolic chf,66,0.0194690265487
severe sepsis,65,0.0191740412979
aphasia,65,0.0191740412979
pancreatitis,64,0.0188790560472
critical as,64,0.0188790560472
laryngeal edema,63,0.0185840707965
abd pain,63,0.0185840707965
hematuria,62,0.0182890855457
epigastric pain,61,0.017994100295
hematochezia,61,0.017994100295
cabg,60,0.0176991150442
68yo m  cad,60,0.0176991150442
shortness  breath.,60,0.0176991150442
congestive heart failure,59,0.0174041297935
rigors,57,0.016814159292
esrd,57,0.016814159292
lower gastrointestinal bleed,57,0.016814159292
gi bleeding,56,0.0165191740413
afib rvr,56,0.0165191740413
?laryngeal edema,56,0.0165191740413
hyperglycemia,56,0.0165191740413
volume overload,55,0.0162241887906
af,55,0.0162241887906
tracheal tear,54,0.0159292035398
lightheadedness,53,0.0156342182891
pea arrest,53,0.0156342182891
ptx,52,0.0153392330383
ugib,52,0.0153392330383
mental status changes,51,0.0150442477876
79f h/o ards [**1-12**] pna,51,0.0150442477876
epistaxis,51,0.0150442477876
none,51,0.0150442477876
gallstone pancreatitis,50,0.0147492625369
hyponatremia,49,0.0144542772861
pe,48,0.0141592920354
icu transfer for hemodynamic,48,0.0141592920354
ulcer debridement,48,0.0141592920354
chf exacerbation,48,0.0141592920354
pulmonary embolism,47,0.0138643067847
afib w/ rvr,47,0.0138643067847
subdural hematoma,47,0.0138643067847
stridor,47,0.0138643067847
delerium,46,0.0135693215339
82 y/o man  recent major gi bleed w/prolonged,45,0.0132743362832
left sided weakness,45,0.0132743362832
chf  ef 30-35%,45,0.0132743362832
htn,45,0.0132743362832
a. fib  rvr,45,0.0132743362832
melena/chest pain,45,0.0132743362832
79 yof  ards [**1-12**] pna,45,0.0132743362832
s/p cardiac arrest,44,0.0129793510324
68m  myeloma admitted  respiratory failure,44,0.0129793510324
"-continued to be hypotensive despite fluid boluses,",44,0.0129793510324
coronary artery disease,43,0.0126843657817
stemi,43,0.0126843657817
cardiogenic shock,43,0.0126843657817
angina,42,0.012389380531
nausea  vomiting,42,0.012389380531
a fib,42,0.012389380531
cfee ground emesis,42,0.012389380531
status epilepticus,41,0.0120943952802
crf,41,0.0120943952802
vtach,41,0.0120943952802
dehydration,41,0.0120943952802
fatigue/malaise,40,0.0117994100295
fuo,40,0.0117994100295
